col,level,n,frauds,rate,lift,ci_lo,ci_hi,p,q_bh
State,nevada,927,19,0.020496224379719527,0.7176109324084895,0.013160067364203734,0.031790222781831856,0.16616400332837483,0.9115030658071264
ConnectionOrg,sprint chicago pop,802,16,0.0199501246882793,0.6984909666283446,0.012316625992545273,0.032160601293809765,0.16698804124609504,0.9115030658071264
State,colorado,2187,73,0.03337905807041609,1.1686628981545228,0.026631202500310203,0.041763335927296794,0.17725517886040584,0.9115030658071264
ConnectionOrg,cox communications inc.,2018,47,0.023290386521308225,0.8154397452951196,0.017559694672408938,0.030832622510104272,0.18065921388827552,0.9115030658071264
ConnectionOrg,xo communications,328,5,0.01524390243902439,0.5337173735098442,0.006528305553588654,0.03518316160423605,0.18271267832157573,0.9115030658071264
ConnectionOrg,sprint nyc pop,517,20,0.03868471953578337,1.3544239730075736,0.025179622556446395,0.058994913425318506,0.18380677121588146,0.9115030658071264
Country,other,2275,54,0.023736263736263738,0.8310507357895701,0.018237652391024678,0.030840616146814902,0.18578910071393634,0.9115030658071264
ConnectionOrg,other,39031,1158,0.029668724859726884,1.0387572323332892,0.028031162096596,0.031398862591912026,0.19128916250216865,0.9115030658071264
webSessWebBrowser,Chrome Mobile,11517,306,0.026569419119562385,0.9302447745842847,0.023786357663377913,0.02966820940575009,0.20806784924817562,0.9115030658071264
webSessOS,Android,12190,371,0.030434782608695653,1.0655783387640019,0.027530115825921173,0.03363531705947895,0.2110765539537163,0.9115030658071264
ConnectionOrg,charter communications,2553,62,0.02428515471993733,0.8502684299017775,0.018990523311754468,0.031009288956631655,0.21188652155699492,0.9115030658071264
State,utah,586,22,0.03754266211604096,1.3144384188556435,0.0249211550665677,0.05618807832761814,0.21227399263515717,0.9115030658071264
webSessWebBrowser,IE,14237,431,0.030273231720165765,1.0599221417200202,0.02758297539193115,0.033216914412334354,0.2176723739240899,0.9115030658071264
ConnectionOrg,cellco partnership dba verizon wireless,3523,112,0.031791087141640646,1.113065082784992,0.02648837581467617,0.03811378834262537,0.2446395671492509,0.9219119490095745
ConnectionOrg,qwest communications company llc,1744,58,0.033256880733944956,1.1643852423912013,0.025814144783587872,0.04275133620736693,0.24923777819288356,0.9219119490095745
ConnectionType,dialup,250,10,0.04,1.400474388089831,0.02186967487695694,0.07205346459269657,0.25304769873579497,0.9219119490095745
ConnectionOrg,comcast cable communications,2004,48,0.023952095808383235,0.8386074180178629,0.01811314440604654,0.03161269054029584,0.2535493362398799,0.9219119490095745
Region,southwest,31164,856,0.02746759080990887,0.9616914357952248,0.025710364756136857,0.029341301060850606,0.2545577769653303,0.9219119490095745
